RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559220230744	 	3.1.2
REQUEST	24		Conector IMS HttpCode 200	1559220232556	1559220233104	OK	 
REQUEST	32		Conector IMS HttpCode 200	1559220232558	1559220233120	OK	 
REQUEST	64		Conector IMS HttpCode 200	1559220232579	1559220233122	OK	 
REQUEST	66		Conector IMS HttpCode 200	1559220232579	1559220233091	OK	 
REQUEST	126		Conector XO HttpCode 200	1559220232622	1559220233133	OK	 
REQUEST	74		Conector IMS HttpCode 200	1559220232587	1559220233134	OK	 
REQUEST	134		Conector XO HttpCode 200	1559220232633	1559220233140	OK	 
REQUEST	82		Conector IMS HttpCode 200	1559220232591	1559220233140	OK	 
REQUEST	90		Conector IMS HttpCode 200	1559220232594	1559220233142	OK	 
REQUEST	98		Conector IMS HttpCode 200	1559220232598	1559220233144	OK	 
REQUEST	106		Conector XO HttpCode 200	1559220232603	1559220233146	OK	 
REQUEST	114		Conector XO HttpCode 200	1559220232611	1559220233147	OK	 
REQUEST	122		Conector XO HttpCode 200	1559220232618	1559220233151	OK	 
REQUEST	130		Conector XO HttpCode 200	1559220232628	1559220233152	OK	 
REQUEST	7		Conector IMS HttpCode 200	1559220232532	1559220233155	OK	 
REQUEST	138		Conector XO HttpCode 200	1559220232668	1559220233156	OK	 
REQUEST	146		Conector XO HttpCode 200	1559220232676	1559220233172	OK	 
REQUEST	154		Conector XO HttpCode 200	1559220232680	1559220233174	OK	 
REQUEST	162		Conector XO HttpCode 200	1559220232684	1559220233175	OK	 
REQUEST	170		Conector XO HttpCode 200	1559220232688	1559220233177	OK	 
REQUEST	178		Conector XO HttpCode 200	1559220232696	1559220233178	OK	 
REQUEST	58		Conector IMS HttpCode 200	1559220232697	1559220233179	OK	 
REQUEST	186		Conector XO HttpCode 200	1559220232700	1559220233181	OK	 
REQUEST	194		Conector XO HttpCode 200	1559220232723	1559220233183	OK	 
REQUEST	24		Conector IMS HttpCode 200 Redirect 1	1559220233117	1559220233131	KO	j.i.IOException: Premature close
REQUEST	15		Conector IMS HttpCode 200	1559220232549	1559220233195	OK	 
REQUEST	142		Conector XO HttpCode 200	1559220232672	1559220233195	OK	 
